Carrier,Servicio,Origen,Destino,Full x Cont,Sencillo,Horas libres,Remarks,Vigencia
Elola,Roundtrip,Veracruz,CDMX,18000,25000,8,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020
Elola,Roundtrip,Veracruz,Puebla,15000,20000,8,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020
Elola,Roundtrip,Veracruz,Monterrey,53000,65000,8,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020
Elola,Roundtrip,Veracruz,Guadalajara,40000,50000,8,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020
Elola,Roundtrip,Veracruz,Queretaro,21000,32000,8,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020
Elola,Roundtrip,Veracruz,Ensenada,70000,80000,8,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020
Elola,Roundtrip,Veracruz,Siloa,25000,30000,8,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020
Elola,Roundtrip,Veracruz,Cuernavaca,22000,24000,8,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020
